timestamp,time_since_login_min,transaction_amount,transaction_type,is_first_transaction,user_tenure_months,is_fraud
2018-11-01 00:04:52.464,2.174243377080170,2832.3,CASH-OUT,FALSE,1.0134445819493900,1
2018-11-01 00:13:35.616,2.4935432277503000,1426.9,CASH-OUT,FALSE,6.700041070232780,0
2018-11-01 00:22:18.768,1.8074319859375100,1302.0,PAYMENT,FALSE,6.291722753717560,0
2018-11-01 00:31:01.920,2.1334153029435200,1432.1,PAYMENT,TRUE,8.165502920688710,0
2018-11-01 00:39:45.072,1.9878274840503600,1870.3,CASH-OUT,FALSE,8.205202980683640,0
2018-11-01 00:48:28.224,2.978838132744490,1512.5,PAYMENT,FALSE,9.490669826121600,0
2018-11-01 00:57:11.376,1.867206308642360,1639.4,CASH-IN,FALSE,6.979411441739820,0
2018-11-01 01:05:54.528,2.547513863569050,2082.8,CASH-OUT,FALSE,2.7549746799780800,1
2018-11-01 01:14:37.680,1.9399995170280400,1690.7,PAYMENT,FALSE,9.833901509478050,0
2018-11-01 01:23:20.832,2.052715537191710,1240.9,CASH-IN,FALSE,6.421194379579200,0
2018-11-01 01:32:03.984,2.5368446821372700,1016.6,PAYMENT,FALSE,5.947036264383370,1
2018-11-01 01:40:47.136,1.885955721011760,1123.5,PAYMENT,TRUE,7.743517363126100,0
2018-11-01 01:49:30.288,2.152982301996790,1250.6,PAYMENT,FALSE,4.834357397593000,1
2018-11-01 01:58:13.440,1.4284620389113600,1499.6,PAYMENT,FALSE,3.495880259569070,1
2018-11-01 02:06:56.592,1.1300292050835300,1559.5,CASH-OUT,TRUE,7.827411412371240,1
2018-11-01 02:15:39.744,2.4742376656810300,1196.8,PAYMENT,TRUE,5.774765780309800,0
2018-11-01 02:24:22.896,1.892378501025220,1823.0,CASH-IN,FALSE,10.129866589016900,0
2018-11-01 02:33:06.048,1.1674396765102500,1637.1,PAYMENT,TRUE,10.138829154914100,0
2018-11-01 02:41:49.200,2.29354638966197,1456.6,CASH-OUT,FALSE,9.778568413176450,0
2018-11-01 02:50:32.352,0.2436846703823500,1789.2,CASH-OUT,FALSE,8.93267389849933,1
